sentence,neg,neu,pos,compound
"It gave a musical comedy every year, travelling with cast, chorus, orchestra, and scenery all through Christmas vacation.",0.0,0.865,0.135,0.3612
"The play and music were the work of undergraduates, and the club itself was the most influential of institutions, over three hundred men competing for it every year.",0.0,0.823,0.177,0.6801
"Amory, after an easy victory in the first sophomore Princetonian competition, stepped into a vacancy of the cast as Boiling Oil, a Pirate Lieutenant.",0.0,0.879,0.121,0.4404
"Every night for the last week they had rehearsed ""HaHa Hortense!""",0.0,0.752,0.248,0.5093
"in the Casino, from two in the afternoon until eight in the morning, sustained by dark and powerful coffee, and sleeping in lectures through the interim.",0.0,0.899,0.101,0.4215
"A rare scene, the Casino.",0.0,1.0,0.0,0.0
"A big, barnlike auditorium, dotted with boys as girls, boys as pirates, boys as babies the scenery in course of being violently set up the spotlight man rehearsing by throwing weird shafts into angry eyes over all the constant tuning of the orchestra or the cheerful tumptytump of a Triangle tune.",0.154,0.785,0.061,-0.6486
"The boy who writes the lyrics stands in the corner, biting a pencil, with twenty minutes to think of an encore the business manager argues with the secretary as to how much money can be spent on ""those damn milkmaid costumes"" the old graduate, president in ninetyeight, perches on a box and thinks how much simpler it was in his day.",0.085,0.915,0.0,-0.6486
"How a Triangle show ever got off was a mystery, but it was a riotous mystery, anyway, whether or not one did enough service to wear a little gold Triangle on his watchchain.",0.0,1.0,0.0,0.0
"""HaHa Hortense!""",0.0,0.233,0.767,0.5093
was written over six times and had the names of nine collaborators on the programme.,0.0,1.0,0.0,0.0
"All Triangle shows started by being ""something differentnot just a regular musical comedy,"" but when the several authors, the president, the coach and the faculty committee finished with it, there remained just the old reliable Triangle show with the old reliable jokes and the star comedian who got expelled or sick or something just before the trip, and the darkwhiskered man in the ponyballet, who ""absolutely won't shave twice a day, doggone it!""",0.09,0.836,0.074,-0.3274
"There was one brilliant place in ""HaHa Hortense!""",0.0,0.458,0.542,0.7959
"It is a Princeton tradition that whenever a Yale man who is a member of the widely advertised ""Skull and Bones"" hears the sacred name mentioned, he must leave the room.",0.043,0.957,0.0,-0.0516
"It is also a tradition that the members are invariably successful in later life, amassing fortunes or votes or coupons or whatever they choose to amass.",0.0,0.863,0.137,0.5859
"Therefore, at each performance of ""HaHa Hortense!""",0.0,0.646,0.354,0.5093
"halfadozen seats were kept from sale and occupied by six of the worstlooking vagabonds that could be hired from the streets, further touched up by the Triangle makeup man.",0.0,1.0,0.0,0.0
"At the moment in the show where Firebrand, the Pirate Chief, pointed at his black flag and said, ""I am a Yale graduatenote my Skull and Bones!",0.0,1.0,0.0,0.0
"""at this very moment the six vagabonds were instructed to rise conspicuously and leave the theatre with looks of deep melancholy and an injured dignity.",0.223,0.689,0.089,-0.4767
It was claimed though never proved that on one occasion the hired Elis were swelled by one of the real thing.,0.0,1.0,0.0,0.0
They played through vacation to the fashionable of eight cities.,0.0,0.789,0.211,0.34
"Amory liked Louisville and Memphis best these knew how to meet strangers, furnished extraordinary punch, and flaunted an astonishing array of feminine beauty.",0.0,0.649,0.351,0.8957
"Chicago he approved for a certain verve that transcended its loud accenthowever, it was a Yale town, and as the Yale Glee Club was expected in a week the Triangle received only divided homage.",0.0,0.755,0.245,0.8442
"In Baltimore, Princeton was at home, and every one fell in love.",0.0,0.724,0.276,0.6369
"There was a proper consumption of strong waters all along the line one man invariably went on the stage highly stimulated, claiming that his particular interpretation of the part required it.",0.0,0.836,0.164,0.6697
"There were three private cars however, no one slept except in the third car, which was called the ""animal car,"" and where were herded the spectacled windjammers of the orchestra.",0.071,0.929,0.0,-0.296
"Everything was so hurried that there was no time to be bored, but when they arrived in Philadelphia, with vacation nearly over, there was rest in getting out of the heavy atmosphere of flowers and greasepaint, and the ponies took off their corsets with abdominal pains and sighs of relief.",0.12,0.807,0.073,-0.1779
"When the disbanding came, Amory set out post haste for Minneapolis, for Sally Weatherby's cousin, Isabelle Borge, was coming to spend the winter in Minneapolis while her parents went abroad.",0.0,1.0,0.0,0.0
He remembered Isabelle only as a little girl with whom he had played sometimes when he first went to Minneapolis.,0.0,0.882,0.118,0.34
She had gone to Baltimore to livebut since then she had developed a past.,0.0,1.0,0.0,0.0
"Amory was in full stride, confident, nervous, and jubilant.",0.137,0.392,0.471,0.7269
"Scurrying back to Minneapolis to see a girl he had known as a child seemed the interesting and romantic thing to do, so without compunction he wired his mother not to expect him... sat in the train, and thought about himself for thirtysix hours.",0.0,0.881,0.119,0.6597
"""PETTING"" On the Triangle trip Amory had come into constant contact with that great current American phenomenon, the ""petting party.""",0.0,0.823,0.177,0.6249
None of the Victorian mothersand most of the mothers were Victorianhad any idea how casually their daughters were accustomed to be kissed.,0.0,0.823,0.177,0.5106
"""Servantgirls are that way,"" says Mrs. HustonCarmelite to her popular daughter.",0.0,0.781,0.219,0.4215
"""They are kissed first and proposed to afterward.""",0.0,0.729,0.271,0.3818
"But the Popular Daughter becomes engaged every six months between sixteen and twentytwo, when she arranges a match with young Hambell, of Cambell  Hambell, who fatuously considers himself her first love, and between engagements the P. D. she is selected by the cutin system at dances, which favors the survival of the fittest has other sentimental last kisses in the moonlight, or the firelight, or the outer darkness.",0.029,0.683,0.288,0.9731
"Amory saw girls doing things that even in his memory would have been impossible eating threeo'clock, afterdance suppers in impossible cafes, talking of every side of life with an air half of earnestness, half of mockery, yet with a furtive excitement that Amory considered stood for a real moral letdown.",0.045,0.893,0.062,0.2263
But he never realized how widespread it was until he saw the cities between New York and Chicago as one vast juvenile intrigue.,0.0,1.0,0.0,0.0
"Afternoon at the Plaza, with winter twilight hovering outside and faint drums downstairs... they strut and fret in the lobby, taking another cocktail, scrupulously attired and waiting.",0.0,0.959,0.041,0.0258
Then the swinging doors revolve and three bundles of fur mince in.,0.0,1.0,0.0,0.0
"The theatre comes afterward then a table at the Midnight Frolicof course, mother will be along there, but she will serve only to make things more secretive and brilliant as she sits in solitary state at the deserted table and thinks such entertainments as this are not half so bad as they are painted, only rather wearying.",0.09,0.765,0.145,0.5871
"But the P. D. is in love again... it was odd, wasn't it?that though there was so much room left in the taxi the P. D. and the boy from Williams were somehow crowded out and had to go in a separate car.",0.061,0.821,0.119,0.5927
Odd!,1.0,0.0,0.0,-0.3802
Didn't you notice how flushed the P. D. was when she arrived just seven minutes late?,0.0,1.0,0.0,0.0
"But the P. D. ""gets away with it.""",0.0,1.0,0.0,0.0
"The ""belle"" had become the ""flirt,"" the ""flirt"" had become the ""baby vamp.""",0.0,1.0,0.0,0.0
"The ""belle"" had five or six callers every afternoon.",0.0,1.0,0.0,0.0
"If the P. D., by some strange accident, has two, it is made pretty uncomfortable for the one who hasn't a date with her.",0.253,0.64,0.108,-0.5106
"The ""belle"" was surrounded by a dozen men in the intermissions between dances.",0.0,1.0,0.0,0.0
"Try to find the P. D. between dances, just try to find her.",0.0,1.0,0.0,0.0
The same girl... deep in an atmosphere of jungle music and the questioning of moral codes.,0.085,0.915,0.0,-0.1027
Amory found it rather fascinating to feel that any popular girl he met before eight he might quite possibly kiss before twelve.,0.0,0.67,0.33,0.8548
"""Why on earth are we here?""",0.0,1.0,0.0,0.0
"he asked the girl with the green combs one night as they sat in some one's limousine, outside the Country Club in Louisville.",0.0,1.0,0.0,0.0
"""I don't know.",0.0,1.0,0.0,0.0
"I'm just full of the devil.""",0.0,1.0,0.0,0.0
"""Let's be frankwe'll never see each other again.",0.0,1.0,0.0,0.0
I wanted to come out here with you because I thought you were the bestlooking girl in sight.,0.0,1.0,0.0,0.0
"You really don't care whether you ever see me again, do you?""",0.209,0.791,0.0,-0.4416
"""Nobut is this your line for every girl?",0.0,1.0,0.0,0.0
"What have I done to deserve it?""",0.0,1.0,0.0,0.0
"""And you didn't feel tired dancing or want a cigarette or any of the things you said?",0.0,0.791,0.209,0.4031
"You just wanted to be"" ""Oh, let's go in,"" she interrupted, ""if you want to analyze.",0.126,0.8,0.074,-0.2263
"Let's not talk about it.""",0.0,1.0,0.0,0.0
"When the handknit, sleeveless jerseys were stylish, Amory, in a burst of inspiration, named them ""petting shirts.""",0.0,0.815,0.185,0.5267
The name travelled from coast to coast on the lips of parlorsnakes and P. D.'s.,0.0,1.0,0.0,0.0
"DESCRIPTIVE Amory was now eighteen years old, just under six feet tall and exceptionally, but not conventionally, handsome.",0.168,0.832,0.0,-0.5334
"He had rather a young face, the ingenuousness of which was marred by the penetrating green eyes, fringed with long dark eyelashes.",0.0,1.0,0.0,0.0
"He lacked somehow that intense animal magnetism that so often accompanies beauty in men or women his personality seemed rather a mental thing, and it was not in his power to turn it on and off like a waterfaucet.",0.0,0.812,0.188,0.7823
But people never forgot his face.,0.0,1.0,0.0,0.0
ISABELLE She paused at the top of the staircase.,0.0,0.816,0.184,0.2023
"The sensations attributed to divers on springboards, leading ladies on opening nights, and lumpy, husky young men on the day of the Big Game, crowded through her.",0.0,1.0,0.0,0.0
"She should have descended to a burst of drums or a discordant blend of themes from ""Thais"" and ""Carmen.""",0.0,1.0,0.0,0.0
"She had never been so curious about her appearance, she had never been so satisfied with it.",0.0,0.694,0.306,0.7655
She had been sixteen years old for six months.,0.0,1.0,0.0,0.0
"""Isabelle!""",0.0,1.0,0.0,0.0
called her cousin Sally from the doorway of the dressingroom.,0.0,1.0,0.0,0.0
"""I'm ready.""",0.0,1.0,0.0,0.0
She caught a slight lump of nervousness in her throat.,0.216,0.784,0.0,-0.296
"""I had to send back to the house for another pair of slippers.",0.0,1.0,0.0,0.0
"It'll be just a minute.""",0.0,1.0,0.0,0.0
"Isabelle started toward the dressingroom for a last peek in the mirror, but something decided her to stand there and gaze down the broad stairs of the Minnehaha Club.",0.0,1.0,0.0,0.0
"They curved tantalizingly, and she could catch just a glimpse of two pairs of masculine feet in the hall below.",0.0,1.0,0.0,0.0
"Pumpshod in uniform black, they gave no hint of identity, but she wondered eagerly if one pair were attached to Amory Blaine.",0.064,0.8,0.136,0.4215
"This young man, not as yet encountered, had nevertheless taken up a considerable part of her daythe first day of her arrival.",0.0,1.0,0.0,0.0
"Coming up in the machine from the station, Sally had volunteered, amid a rain of question, comment, revelation, and exaggeration ""You remember Amory Blaine, of course.",0.0,1.0,0.0,0.0
"Well, he's simply mad to see you again.",0.283,0.531,0.186,-0.2732
"He's stayed over a day from college, and he's coming tonight.",0.0,1.0,0.0,0.0
"He's heard so much about yousays he remembers your eyes.""",0.0,1.0,0.0,0.0
This had pleased Isabelle.,0.0,0.508,0.492,0.4404
"It put them on equal terms, although she was quite capable of staging her own romances, with or without advance advertising.",0.0,0.785,0.215,0.6361
"But following her happy tremble of anticipation, came a sinking sensation that made her ask ""How do you mean he's heard about me?",0.094,0.671,0.235,0.6124
"What sort of things?""",0.0,1.0,0.0,0.0
Sally smiled.,0.0,0.222,0.778,0.5423
She felt rather in the capacity of a showman with her more exotic cousin.,0.0,1.0,0.0,0.0
"""He knows you'reyou're considered beautiful and all that""she paused""and I guess he knows you've been kissed.""",0.0,0.782,0.218,0.5994
At this Isabelle's little fist had clinched suddenly under the fur robe.,0.0,1.0,0.0,0.0
"She was accustomed to be thus followed by her desperate past, and it never failed to rouse in her the same feeling of resentment yetin a strange town it was an advantageous reputation.",0.176,0.655,0.169,-0.0767
"She was a ""Speed,"" was she?",0.0,1.0,0.0,0.0
Welllet them find out.,0.0,1.0,0.0,0.0
Out of the window Isabelle watched the snow glide by in the frosty morning.,0.0,1.0,0.0,0.0
"It was ever so much colder here than in Baltimore she had not remembered the glass of the side door was iced, the windows were shirred with snow in the corners.",0.0,1.0,0.0,0.0
Her mind played still with one subject.,0.0,0.714,0.286,0.34
"Did he dress like that boy there, who walked calmly down a bustling business street, in moccasins and wintercarnival costume?",0.0,0.78,0.22,0.5859
How very Western!,0.0,1.0,0.0,0.0
"Of course he wasn't that way he went to Princeton, was a sophomore or something.",0.0,1.0,0.0,0.0
Really she had no distinct idea of him.,0.26,0.74,0.0,-0.3535
An ancient snapshot she had preserved in an old kodak book had impressed her by the big eyes which he had probably grown up to by now.,0.0,0.893,0.107,0.4767
"However, in the last month, when her winter visit to Sally had been decided on, he had assumed the proportions of a worthy adversary.",0.07,0.817,0.113,0.2732
"Children, most astute of matchmakers, plot their campaigns quickly, and Sally had played a clever correspondence sonata to Isabelle's excitable temperament.",0.0,0.683,0.317,0.7845
"Isabelle had been for some time capable of very strong, if very transient emotions....",0.0,0.66,0.34,0.7346
"They drew up at a spreading, whitestone building, set back from the snowy street.",0.0,1.0,0.0,0.0
Mrs. Weatherby greeted her warmly and her various younger cousins were produced from the corners where they skulked politely.,0.0,0.78,0.22,0.5859
Isabelle met them tactfully.,0.0,1.0,0.0,0.0
At her best she allied all with whom she came in contactexcept older girls and some women.,0.0,0.792,0.208,0.6369
All the impressions she made were conscious.,0.0,0.759,0.241,0.2263
The halfdozen girls she renewed acquaintance with that morning were all rather impressed and as much by her direct personality as by her reputation.,0.0,0.881,0.119,0.4767
Amory Blaine was an open subject.,0.0,1.0,0.0,0.0
"Evidently a bit light of love, neither popular nor unpopularevery girl there seemed to have had an affair with him at some time or other, but no one volunteered any really useful information.",0.113,0.711,0.175,0.5305
He was going to fall for her.... Sally had published that information to her young set and they were retailing it back to Sally as fast as they set eyes on Isabelle.,0.0,1.0,0.0,0.0
"Isabelle resolved secretly that she would, if necessary, force herself to like himshe owed it to Sally.",0.0,0.781,0.219,0.4939
Suppose she were terribly disappointed.,0.691,0.309,0.0,-0.7717
"Sally had painted him in such glowing colorshe was goodlooking, ""sort of distinguished, when he wants to be,"" had a line, and was properly inconstant.",0.0,1.0,0.0,0.0
"In fact, he summed up all the romance that her age and environment led her to desire.",0.0,0.704,0.296,0.743
She wondered if those were his dancingshoes that foxtrotted tentatively around the soft rug below.,0.0,1.0,0.0,0.0
"All impressions and, in fact, all ideas were extremely kaleidoscopic to Isabelle.",0.0,0.853,0.147,0.2263
"She had that curious mixture of the social and the artistic temperaments found often in two classes, society women and actresses.",0.0,0.897,0.103,0.3182
"Her education or, rather, her sophistication, had been absorbed from the boys who had dangled on her favor her tact was instinctive, and her capacity for loveaffairs was limited only by the number of the susceptible within telephone distance.",0.045,0.859,0.095,0.2732
Flirt smiled from her large blackbrown eyes and shone through her intense physical magnetism.,0.0,0.714,0.286,0.5859
So she waited at the head of the stairs that evening while slippers were fetched.,0.0,1.0,0.0,0.0
"Just as she was growing impatient, Sally came out of the dressingroom, beaming with her accustomed good nature and high spirits, and together they descended to the floor below, while the shifting searchlight of Isabelle's mind flashed on two ideas she was glad she had high color tonight, and she wondered if he danced well.",0.036,0.808,0.157,0.7579
"Downstairs, in the club's great room, she was surrounded for a moment by the girls she had met in the afternoon, then she heard Sally's voice repeating a cycle of names, and found herself bowing to a sextet of black and white, terribly stiff, vaguely familiar figures.",0.072,0.845,0.082,0.128
"The name Blaine figured somewhere, but at first she could not place him.",0.0,1.0,0.0,0.0
"A very confused, very juvenile moment of awkward backings and bumpings followed, and every one found himself talking to the person he least desired to.",0.222,0.778,0.0,-0.6133
"Isabelle manoeuvred herself and Froggy Parker, freshman at Harvard, with whom she had once played hopscotch, to a seat on the stairs.",0.0,0.893,0.107,0.34
A humorous reference to the past was all she needed.,0.0,0.755,0.245,0.3818
The things Isabelle could do socially with one idea were remarkable.,0.0,0.735,0.265,0.5574
"First, she repeated it rapturously in an enthusiastic contralto with a soupcon of Southern accent then she held it off at a distance and smiled at ither wonderful smile then she delivered it in variations and played a sort of mental catch with it, all this in the nominal form of dialogue.",0.0,0.742,0.258,0.936
"Froggy was fascinated and quite unconscious that this was being done, not for him, but for the green eyes that glistened under the shining carefully watered hair, a little to her left, for Isabelle had discovered Amory.",0.0,0.899,0.101,0.4215
"As an actress even in the fullest flush of her own conscious magnetism gets a deep impression of most of the people in the front row, so Isabelle sized up her antagonist.",0.086,0.858,0.056,-0.25
"First, he had auburn hair, and from her feeling of disappointment she knew that she had expected him to be dark and of garteradvertisement slenderness.... For the rest, a faint flush and a straight, romantic profile the effect set off by a closefitting dress suit and a silk ruffled shirt of the kind that women still delight to see men wear, but men were just beginning to get tired of.",0.081,0.795,0.124,0.0516
During this inspection Amory was quietly watching.,0.0,1.0,0.0,0.0
"""Don't you think so?""",0.0,1.0,0.0,0.0
"she said suddenly, turning to him, innocenteyed.",0.0,1.0,0.0,0.0
"There was a stir, and Sally led the way over to their table.",0.0,1.0,0.0,0.0
"Amory struggled to Isabelle's side, and whispered ""You're my dinner partner, you know.",0.167,0.833,0.0,-0.34
"We're all coached for each other.""",0.0,1.0,0.0,0.0
Isabelle gaspedthis was rather right in line.,0.0,1.0,0.0,0.0
But really she felt as if a good speech had been taken from the star and given to a minor character.... She mustn't lose the leadership a bit.,0.0,0.773,0.227,0.7742
"The dinnertable glittered with laughter at the confusion of getting places and then curious eyes were turned on her, sitting near the head.",0.079,0.722,0.199,0.5106
"She was enjoying this immensely, and Froggy Parker was so engrossed with the added sparkle of her rising color that he forgot to pull out Sally's chair, and fell into a dim confusion.",0.057,0.727,0.216,0.7283
"Amory was on the other side, full of confidence and vanity, gazing at her in open admiration.",0.084,0.617,0.3,0.7096
"He began directly, and so did Froggy ""I've heard a lot about you since you wore braids"" ""Wasn't it funny this afternoon"" Both stopped.",0.17,0.83,0.0,-0.5116
Isabelle turned to Amory shyly.,0.298,0.702,0.0,-0.1779
"Her face was always enough answer for any one, but she decided to speak.",0.0,1.0,0.0,0.0
"""Howfrom whom?""",0.0,1.0,0.0,0.0
"""From everybodyfor all the years since you've been away.""",0.0,1.0,0.0,0.0
She blushed appropriately.,0.0,1.0,0.0,0.0
"On her right Froggy was hors de combat already, although he hadn't quite realized it.",0.146,0.854,0.0,-0.34
"""I'll tell you what I remembered about you all these years,"" Amory continued.",0.0,1.0,0.0,0.0
She leaned slightly toward him and looked modestly at the celery before her.,0.0,1.0,0.0,0.0
"Froggy sighedhe knew Amory, and the situations that Amory seemed born to handle.",0.0,1.0,0.0,0.0
He turned to Sally and asked her if she was going away to school next year.,0.0,1.0,0.0,0.0
Amory opened with grapeshot.,0.0,1.0,0.0,0.0
"""I've got an adjective that just fits you.""",0.0,1.0,0.0,0.0
"This was one of his favorite startshe seldom had a word in mind, but it was a curiosity provoker, and he could always produce something complimentary if he got in a tight corner.",0.0,0.827,0.173,0.705
"""Ohwhat?""",0.0,1.0,0.0,0.0
Isabelle's face was a study in enraptured curiosity.,0.0,1.0,0.0,0.0
Amory shook his head.,0.318,0.682,0.0,-0.1027
"""I don't know you very well yet.""",0.0,0.715,0.285,0.3384
"""Will you tell meafterward?""",0.0,1.0,0.0,0.0
she half whispered.,0.0,1.0,0.0,0.0
He nodded.,0.0,1.0,0.0,0.0
"""We'll sit out.""",0.0,1.0,0.0,0.0
Isabelle nodded.,0.0,1.0,0.0,0.0
"""Did any one ever tell you, you have keen eyes?""",0.0,0.783,0.217,0.3612
she said.,0.0,1.0,0.0,0.0
Amory attempted to make them look even keener.,0.0,0.824,0.176,0.128
"He fancied, but he was not sure, that her foot had just touched his under the table.",0.132,0.868,0.0,-0.3491
But it might possibly have been only the table leg.,0.0,1.0,0.0,0.0
It was so hard to tell.,0.272,0.728,0.0,-0.2183
Still it thrilled him.,0.0,0.508,0.492,0.4404
He wondered quickly if there would be any difficulty in securing the little den upstairs.,0.136,0.734,0.13,-0.0258
"BABES IN THE WOODS Isabelle and Amory were distinctly not innocent, nor were they particularly brazen.",0.12,0.88,0.0,-0.2584
"Moreover, amateur standing had very little value in the game they were playing, a game that would presumably be her principal study for years to come.",0.0,0.846,0.154,0.4914
"She had begun as he had, with good looks and an excitable temperament, and the rest was the result of accessible popular novels and dressingroom conversation culled from a slightly older set.",0.0,0.773,0.227,0.802
"Isabelle had walked with an artificial gait at nine and a half, and when her eyes, wide and starry, proclaimed the ingenue most.",0.0,1.0,0.0,0.0
Amory was proportionately less deceived.,0.395,0.605,0.0,-0.3832
"He waited for the mask to drop off, but at the same time he did not question her right to wear it.",0.069,0.931,0.0,-0.1406
"She, on her part, was not impressed by his studied air of blas sophistication.",0.164,0.836,0.0,-0.3724
She had lived in a larger city and had slightly an advantage in range.,0.0,0.875,0.125,0.1832
But she accepted his poseit was one of the dozen little conventions of this kind of affair.,0.0,0.858,0.142,0.3919
"He was aware that he was getting this particular favor now because she had been coached he knew that he stood for merely the best game in sight, and that he would have to improve his opportunity before he lost his advantage.",0.043,0.681,0.276,0.9062
So they proceeded with an infinite guile that would have horrified her parents.,0.226,0.774,0.0,-0.5423
After the dinner the dance began... smoothly.,0.0,1.0,0.0,0.0
"Smoothly?boys cut in on Isabelle every few feet and then squabbled in the corners with ""You might let me get more than an inch!""",0.094,0.906,0.0,-0.3382
"and ""She didn't like it eithershe told me so next time I cut in.""",0.289,0.711,0.0,-0.5383
"It was trueshe told every one so, and gave every hand a parting pressure that said ""You know that your dances are making my evening.""",0.08,0.803,0.117,0.25
"But time passed, two hours of it, and the less subtle beaux had better learned to focus their pseudopassionate glances elsewhere, for eleven o'clock found Isabelle and Amory sitting on the couch in the little den off the readingroom upstairs.",0.0,0.91,0.09,0.5927
"She was conscious that they were a handsome pair, and seemed to belong distinctively in this seclusion, while lesser lights fluttered and chattered downstairs.",0.0,0.873,0.127,0.4939
Boys who passed the door looked in enviouslygirls who passed only laughed and frowned and grew wise within themselves.,0.0,0.736,0.264,0.7269
They had now reached a very definite stage.,0.0,0.569,0.431,0.4201
"They had traded accounts of their progress since they had met last, and she had listened to much she had heard before.",0.0,0.882,0.118,0.4215
"He was a sophomore, was on the Princetonian board, hoped to be chairman in senior year.",0.0,0.843,0.157,0.3818
"He learned that some of the boys she went with in Baltimore were ""terrible speeds"" and came to dances in states of artificial stimulation most of them were twenty or so, and drove alluring red Stutzes.",0.081,0.919,0.0,-0.4767
"A good half seemed to have already flunked out of various schools and colleges, but some of them bore athletic names that made him look at her admiringly.",0.134,0.677,0.189,0.431
"As a matter of fact, Isabelle's closer acquaintance with the universities was just commencing.",0.0,0.916,0.084,0.0258
"She had bowing acquaintance with a lot of young men who thought she was a ""pretty kidworth keeping an eye on.""",0.0,0.849,0.151,0.4939
But Isabelle strung the names into a fabrication of gayety that would have dazzled a Viennese nobleman.,0.0,1.0,0.0,0.0
Such is the power of young contralto voices on sinkdown sofas.,0.0,1.0,0.0,0.0
He asked her if she thought he was conceited.,0.0,1.0,0.0,0.0
She said there was a difference between conceit and selfconfidence.,0.0,1.0,0.0,0.0
She adored selfconfidence in men.,0.0,0.588,0.412,0.4215
"""Is Froggy a good friend of yours?""",0.0,0.396,0.604,0.7269
she asked.,0.0,1.0,0.0,0.0
"""Ratherwhy?""",0.0,1.0,0.0,0.0
"""He's a bum dancer.""",0.0,1.0,0.0,0.0
Amory laughed.,0.0,0.25,0.75,0.4588
"""He dances as if the girl were on his back instead of in his arms.""",0.0,1.0,0.0,0.0
She appreciated this.,0.0,0.377,0.623,0.5106
"""You're awfully good at sizing people up.""",0.0,0.653,0.347,0.4927
Amory denied this painfully.,0.775,0.225,0.0,-0.7845
"However, he sized up several people for her.",0.0,1.0,0.0,0.0
Then they talked about hands.,0.0,1.0,0.0,0.0
"""You've got awfully nice hands,"" she said.",0.0,0.66,0.34,0.4754
"""They look as if you played the piano.",0.0,0.745,0.255,0.34
"Do you?""",0.0,1.0,0.0,0.0
"I have said they had reached a very definite stagenay, more, a very critical stage.",0.183,0.575,0.242,-0.0202
"Amory had stayed over a day to see her, and his train left at twelveeighteen that night.",0.0,1.0,0.0,0.0
His trunk and suitcase awaited him at the station his watch was beginning to hang heavy in his pocket.,0.058,0.942,0.0,-0.0258
"""Isabelle,"" he said suddenly, ""I want to tell you something.""",0.0,0.874,0.126,0.0772
"They had been talking lightly about ""that funny look in her eyes,"" and Isabelle knew from the change in his manner what was comingindeed, she had been wondering how soon it would come.",0.0,0.917,0.083,0.4404
"Amory reached above their heads and turned out the electric light, so that they were in the dark, except for the red glow that fell through the door from the readingroom lamps.",0.0,0.957,0.043,0.1027
"Then he began ""I don't know whether or not you know what youwhat I'm going to say.",0.0,1.0,0.0,0.0
"Lordy, Isabellethis sounds like a line, but it isn't.""",0.0,0.8,0.2,0.1901
"""I know,"" said Isabelle softly.",0.0,1.0,0.0,0.0
"""Maybe we'll never meet again like thisI have darned hard luck sometimes.""",0.226,0.58,0.193,0.1255
"He was leaning away from her on the other arm of the lounge, but she could see his eyes plainly in the dark.",0.0,1.0,0.0,0.0
"""You'll meet me againsilly.""",0.0,1.0,0.0,0.0
There was just the slightest emphasis on the last wordso that it became almost a term of endearment.,0.0,1.0,0.0,0.0
"He continued a bit huskily ""I've fallen for a lot of peoplegirlsand I guess you have, tooboys, I mean, but, honestly, you"" he broke off suddenly and leaned forward, chin on his hands ""Oh, what's the useyou'll go your way and I suppose I'll go mine.""",0.115,0.801,0.084,-0.1154
Silence for a moment.,0.0,1.0,0.0,0.0
"Isabelle was quite stirred she wound her handkerchief into a tight ball, and by the faint light that streamed over her, dropped it deliberately on the floor.",0.0,1.0,0.0,0.0
"Their hands touched for an instant, but neither spoke.",0.0,1.0,0.0,0.0
Silences were becoming more frequent and more delicious.,0.0,0.637,0.363,0.6115
Outside another stray couple had come up and were experimenting on the piano in the next room.,0.0,1.0,0.0,0.0
"After the usual preliminary of ""chopsticks,"" one of them started ""Babes in the Woods"" and a light tenor carried the words into the den ""Give me your hand I'll understand We're off to slumberland.""",0.0,0.909,0.091,0.4939
Isabelle hummed it softly and trembled as she felt Amory's hand close over hers.,0.121,0.694,0.185,0.2732
"""Isabelle,"" he whispered.",0.0,1.0,0.0,0.0
"""You know I'm mad about you.",0.39,0.61,0.0,-0.4939
"You do give a darn about me.""",0.0,1.0,0.0,0.0
"""Yes.""",0.0,1.0,0.0,0.0
"""How much do you caredo you like any one better?""",0.0,0.783,0.217,0.3612
"""No.""",0.0,1.0,0.0,0.0
"He could scarcely hear her, although he bent so near that he felt her breath against his cheek.",0.0,1.0,0.0,0.0
"""Isabelle, I'm going back to college for six long months, and why shouldn't weif I could only just have one thing to remember you by"" ""Close the door...."" Her voice had just stirred so that he half wondered whether she had spoken at all.",0.0,1.0,0.0,0.0
"As he swung the door softly shut, the music seemed quivering just outside.",0.0,1.0,0.0,0.0
"""Moonlight is bright, Kiss me good night.""",0.0,0.317,0.683,0.8225
"What a wonderful song, she thoughteverything was wonderful tonight, most of all this romantic scene in the den, with their hands clinging and the inevitable looming charmingly close.",0.04,0.591,0.369,0.922
"The future vista of her life seemed an unending succession of scenes like this under moonlight and pale starlight, and in the backs of warm limousines and in low, cosy roadsters stopped under sheltering treesonly the boy might change, and this one was so nice.",0.098,0.717,0.185,0.6825
He took her hand softly.,0.0,0.556,0.444,0.4939
"With a sudden movement he turned it and, holding it to his lips, kissed the palm.",0.0,0.843,0.157,0.3818
"""Isabelle!""",0.0,1.0,0.0,0.0
"His whisper blended in the music, and they seemed to float nearer together.",0.0,1.0,0.0,0.0
Her breath came faster.,0.0,1.0,0.0,0.0
"""Can't I kiss you, IsabelleIsabelle?""",0.437,0.563,0.0,-0.3252
"Lips half parted, she turned her head to him in the dark.",0.0,1.0,0.0,0.0
"Suddenly the ring of voices, the sound of running footsteps surged toward them.",0.0,1.0,0.0,0.0
"Quick as a flash Amory reached up and turned on the light, and when the door opened and three boys, the wrathy and dancecraving Froggy among them, rushed in, he was turning over the magazines on the table, while she sat without moving, serene and unembarrassed, and even greeted them with a welcoming smile.",0.042,0.805,0.152,0.6619
"But her heart was beating wildly, and she felt somehow as if she had been deprived.",0.368,0.632,0.0,-0.8462
It was evidently over.,0.0,1.0,0.0,0.0
"There was a clamor for a dance, there was a glance that passed between themon his side despair, on hers regret, and then the evening went on, with the reassured beaux and the eternal cutting in.",0.172,0.757,0.07,-0.4404
"At quarter to twelve Amory shook hands with her gravely, in the midst of a small crowd assembled to wish him goodspeed.",0.159,0.732,0.11,-0.0516
